time,cpu_usage,ram_usage
1636553178,0.0037,75722752.0
1636553188,0.0037,140255232.0
1636553199,0.052663,184238080.0
1636553210,0.052663,217681920.0
1636553221,0.120889,305606656.0
1636553232,0.120889,356622336.0
1636553243,0.249958,412884992.0
1636553254,0.249958,417267712.0
1636553267,0.399306,421892096.0
1636553278,0.240794,421892096.0
1636553476,0.0057,448122880.0
1636553487,0.0,562274304.0
1636553497,0.016066,606273536.0
1636553508,0.016066,639688704.0
1636553519,0.0,681287680.0
1636553530,0.105559,778563584.0
1636553542,0.33184,834224128.0
1636553553,0.246502,838496256.0
1636553566,0.347677,842719232.0
1636553578,0.347677,429604864.0
1636553589,0.340037,433360896.0
1636553601,0.486821,440102912.0
1636553613,0.486821,445677568.0
1636553629,0.573533,452784128.0
1636553642,0.539525,461975552.0
1636553654,0.456806,468828160.0
1636553673,0.531007,480653312.0
1636553686,0.519589,488517632.0
1636553699,0.431666,499134464.0
1636553717,0.674343,507129856.0
1636553738,0.70743,519012352.0
1636553760,0.619805,529846272.0
1636553780,0.740856,541437952.0
1636553803,0.936727,553050112.0
1636553825,0.764781,567529472.0
1636553846,0.655772,578985984.0
1636554058,0.01138,659156992.0
1636554068,0.01138,723648512.0
1636554079,0.068614,767377408.0
1636554090,0.068614,800911360.0
1636554101,0.169702,889491456.0
1636554112,0.169702,939720704.0
1636554125,0.256353,987586560.0
1636554136,0.377196,997277696.0
1636554148,0.377196,1004253184.0
1636554160,0.366896,1004253184.0
1636554172,0.366896,432480256.0
1636554184,0.30767,438505472.0
1636554196,0.30767,443654144.0
1636554211,0.414731,451289088.0
1636554224,0.452184,458952704.0
1636554237,0.452184,466751488.0
1636554253,0.554053,476946432.0
1636554277,0.40688,533753856.0
1636554295,0.698835,542142464.0
1636554317,0.509997,551628800.0
1636554530,0.0,626094080.0
1636554541,0.070828,694079488.0
1636554552,0.01017,737923072.0
1636554563,0.01017,771387392.0
1636554858,0.0,290095104.0
1636554868,0.0,290095104.0
1636554879,0.0,140533760.0
1636554889,0.053926,217878528.0
1636554900,0.101052,306728960.0
1636554911,0.131976,356835328.0
1636554923,0.249553,412004352.0
1636554934,0.249553,416661504.0
1636554945,0.285719,421105664.0
1636554957,0.38163,430587904.0
1636554969,0.311608,436195328.0
1636554980,0.394314,441384960.0
1636554992,0.475604,447328256.0
1636555005,0.516287,454770688.0
1636555018,0.516287,460894208.0
1636555033,0.459242,468819968.0
1636555046,0.56619,477650944.0
1636555060,0.56619,543440896.0
1636555080,0.427083,556605440.0
1636555097,0.536488,566796288.0
1636555119,0.571991,576536576.0
1636555142,0.740285,586776576.0
1636555161,0.624625,598036480.0
1636555183,0.710692,609361920.0
1636555208,0.823236,622665728.0
1636555227,0.928746,635768832.0
1636555250,0.886891,649134080.0
1636555273,0.824098,662102016.0
1636555296,0.746959,678223872.0
1636555323,1.024457,693059584.0
1636555350,1.222709,708014080.0
1636555379,0.978312,725262336.0
1636555411,0.740763,742789120.0
